Date,Close,Volume,20ma,50ma,200ma,cross,triple cross,Upper_BB,Lower_BB,Distance_from_Middle,Above_upperbb,Below_lowerbb,RSI_14d,RSI_21d,RSI_Above_70,RSI_Below_30,MACD_cross_above,MACD_cross_below,1m_return_diff_QQQ_IWM,1m_return_diff_QQQ_DIA,high_volumn,Consecutive_Up_Days,Consecutive_Down_Days,Future1M_movement_direction,Future2M_movement_direction,Future15d_movement_direction
2023-05-04,316.1700134277344,50224500,317.3789993286133,308.92419921874995,294.28234939575196,No Cross,No Cross,323.63191314936034,311.12608550786626,-0.38669520659873585,0,0,45.83043938833223,46.83406062617148,0,0,0,0,4.005477822174585,-0.19938201623594942,0,0,4,1,1,1
2023-05-05,322.8900146484375,51776000,317.6210006713867,309.44559936523433,294.3816494750977,No Cross,No Cross,324.3404883519514,310.90151299082197,1.5682784841739539,0,0,55.747976247709886,57.058957702442854,0,0,0,0,1.7751769198142364,-0.7104935035125326,0,1,0,1,1,1
2023-05-08,323.69000244140625,36465800,317.91200103759763,310.08239929199215,294.4631994628906,No Cross,No Cross,325.16018563443606,310.6638164407592,1.5943306428285298,0,0,56.706503702623976,55.87013363215711,0,0,1,0,2.8016423240895927,-0.19527474074132467,0,2,0,1,1,1
2023-05-09,321.6400146484375,31768800,318.20250244140624,310.6363995361328,294.56144958496094,No Cross,No Cross,325.5641717986883,310.8408330841242,0.9338947568002182,0,0,53.864452159941024,53.776824454216836,0,0,0,1,4.269395096588036,0.6378727967898401,0,0,1,1,1,1
2023-05-10,325.1400146484375,60446600,318.80750274658203,311.2679998779297,294.68579971313477,No Cross,No Cross,326.36889442723924,311.2461110659248,1.6749593644394003,0,0,61.36483741030853,59.06175350756765,0,0,1,0,5.313942337632316,2.260368557325654,1,1,0,1,1,1
2023-05-11,326.20001220703125,44278500,319.15900268554685,311.9679998779297,294.84494979858397,No Cross,No Cross,327.4132047757301,310.9048005953636,1.7060424362176156,0,0,62.07508976219171,63.25546338653428,0,0,0,0,5.65020565528701,2.3997212807810753,0,2,0,1,1,1
2023-05-12,325.0299987792969,48396200,319.4820022583008,312.59640014648437,294.9360498046875,No Cross,No Cross,328.13509909133325,310.8289054252683,1.2823146737055062,0,0,61.2878994240206,56.5577375976045,0,0,0,0,4.366127188414904,1.5249402119340782,0,0,1,1,1,1
2023-05-15,326.7900085449219,33375600,319.87950286865237,313.1386004638672,295.0209498596191,No Cross,No Cross,329.1189611848274,310.6400445524773,1.4958681428697285,0,0,73.32041009808506,58.965982572201426,0,0,0,0,3.8270650356075464,1.4802102850959953,0,1,0,1,1,1
2023-05-16,327.1600036621094,40019200,320.2945037841797,313.68140075683596,295.07944992065427,No Cross,No Cross,330.0711441825527,310.5178633858067,1.4044701652465827,0,0,72.15302483235669,59.055309029069484,0,0,0,0,5.6633786656417495,3.8448062361817303,0,2,0,1,1,1
2023-05-17,331.1199951171875,47486100,320.91500396728514,314.3770007324219,295.15869995117185,No Cross,No Cross,331.78260900786836,310.04739892670193,1.8780570533790206,0,0,67.95599113065802,62.28951841151792,0,0,0,0,3.337481357578964,3.575967107933331,0,3,0,1,1,1
2023-05-18,337.2699890136719,64213500,321.9645034790039,315.16600036621094,295.2733999633789,No Cross,No Cross,334.8197400940259,309.1092668639819,2.381206350847356,1,0,71.67699360596225,66.60702953567144,0,0,0,0,4.707696535376638,6.38768667292422,1,4,0,1,1,1
2023-05-19,336.510009765625,61462400,322.95950469970705,316.0430004882812,295.34149993896483,No Cross,No Cross,337.0872795474617,308.8317298519524,1.91827873985004,0,0,70.862514182871,68.6589531010482,0,0,0,0,4.527456115417028,6.016127016097217,1,0,1,1,1,1
2023-05-22,337.6400146484375,43015900,324.0440048217773,317.0248010253906,295.4077000427246,No Cross,No Cross,339.1988767656116,308.88913287794304,1.7942757783831624,0,0,77.97186843763615,69.11475086071748,0,0,0,0,4.791368063055224,7.130351958072712,0,1,0,1,1,1
2023-05-23,333.3599853515625,48216700,325.2125045776367,317.8782006835938,295.46574996948243,No Cross,No Cross,339.37619065659953,311.0488184986739,1.1504746332986255,0,0,73.06916882281661,64.84732363516744,0,0,0,0,5.392387830807666,7.417479633441227,0,0,1,1,1,1
2023-05-24,331.6499938964844,62891200,326.2015045166016,318.56380065917966,295.52044998168947,No Cross,No Cross,339.15286135122153,313.2501476819816,0.8413773860849209,0,0,71.85204395498354,69.91542283252423,0,0,0,0,6.11553370838358,8.499800658200007,1,0,2,1,1,1
2023-05-25,339.7200012207031,66862800,327.1700042724609,319.3796008300781,295.63365005493165,No Cross,No Cross,341.1361565304428,313.203852014479,1.7972017942264231,0,0,72.88549306610871,72.98994284942694,1,0,0,0,8.683617846978976,10.146299400610149,1,1,0,1,1,1
2023-05-26,348.3999938964844,63007000,328.46200408935545,320.2114007568359,295.74600006103515,No Cross,No Cross,345.14845443396337,311.7755537447475,2.389722127279358,1,0,77.67076689009775,73.07882750551148,1,0,0,0,9.567669491842157,11.724711055506242,1,2,0,1,1,1
